match_no,stage,group_name,date_et,home_team,away_team,home_team_zh,away_team_zh,raw_home_expected_goals,raw_away_expected_goals,home_expected_goals,away_expected_goals,home_lineup_goal_factor,away_lineup_goal_factor,home_lineup_log_adjustment,away_lineup_log_adjustment,home_lineup_status,away_lineup_status,home_formation,away_formation,group_match_round,group_opener_mismatch_adjustment_applied,group_opener_favorite_team,group_opener_favorite_elo_edge,home_group_opener_log_adjustment,away_group_opener_log_adjustment,has_market_outcome_constraint,market_home_win_probability,market_draw_probability,market_away_win_probability,has_market_total_goals_constraint,dixon_coles_rho,score_home_win_probability,score_draw_probability,score_away_win_probability,over_2_5_probability,under_2_5_probability,both_teams_score_probability,clean_sheet_home_probability,clean_sheet_away_probability,scoreline_rank,scoreline,scoreline_probability
19,Group Stage,Group D,2026-06-12,United States,Paraguay,美国,巴拉圭,1.2837024670889157,1.5747642328204445,1.326771377085143,1.6654670050621636,1.0335505392413056,1.0575976837366112,0.033000000000000015,0.05600000000000001,predicted,predicted,4-3-3,4-2-3-1,1,False,,2.9586976408538703,0.0,0.0,True,0.4946034161677247,0.27241234305853146,0.232984240773744,True,-0.0475,0.34540256517038187,0.2678299784341197,0.3867674563954985,0.5219560229976542,0.4780439770023458,0.5622705333346606,0.2419147487793588,0.26988382271414724,5,0-1,0.08044690808350353
19,Group Stage,Group D,2026-06-12,United States,Paraguay,美国,巴拉圭,1.2837024670889157,1.5747642328204445,1.326771377085143,1.6654670050621636,1.0335505392413056,1.0575976837366112,0.033000000000000015,0.05600000000000001,predicted,predicted,4-3-3,4-2-3-1,1,False,,2.9586976408538703,0.0,0.0,True,0.4946034161677247,0.27241234305853146,0.232984240773744,True,-0.0475,0.34540256517038187,0.2678299784341197,0.3867674563954985,0.5219560229976542,0.4780439770023458,0.5622705333346606,0.2419147487793588,0.26988382271414724,6,0-0,0.07406910482816655
19,Group Stage,Group D,2026-06-12,United States,Paraguay,美国,巴拉圭,1.2837024670889157,1.5747642328204445,1.326771377085143,1.6654670050621636,1.0335505392413056,1.0575976837366112,0.033000000000000015,0.05600000000000001,predicted,predicted,4-3-3,4-2-3-1,1,False,,2.9586976408538703,0.0,0.0,True,0.4946034161677247,0.27241234305853146,0.232984240773744,True,-0.0475,0.34540256517038187,0.2678299784341197,0.3867674563954985,0.5219560229976542,0.4780439770023458,0.5622705333346606,0.2419147487793588,0.26988382271414724,7,0-2,0.06364923576461216
19,Group Stage,Group D,2026-06-12,United States,Paraguay,美国,巴拉圭,1.2837024670889157,1.5747642328204445,1.326771377085143,1.6654670050621636,1.0335505392413056,1.0575976837366112,0.033000000000000015,0.05600000000000001,predicted,predicted,4-3-3,4-2-3-1,1,False,,2.9586976408538703,0.0,0.0,True,0.4946034161677247,0.27241234305853146,0.232984240773744,True,-0.0475,0.34540256517038187,0.2678299784341197,0.3867674563954985,0.5219560229976542,0.4780439770023458,0.5622705333346606,0.2419147487793588,0.26988382271414724,8,2-2,0.05564661158354269
19,Group Stage,Group D,2026-06-12,United States,Paraguay,美国,巴拉圭,1.2837024670889157,1.5747642328204445,1.326771377085143,1.6654670050621636,1.0335505392413056,1.0575976837366112,0.033000000000000015,0.05600000000000001,predicted,predicted,4-3-3,4-2-3-1,1,False,,2.9586976408538703,0.0,0.0,True,0.4946034161677247,0.27241234305853146,0.232984240773744,True,-0.0475,0.34540256517038187,0.2678299784341197,0.3867674563954985,0.5219560229976542,0.4780439770023458,0.5622705333346606,0.2419147487793588,0.26988382271414724,9,2-0,0.05331592511569873
19,Group Stage,Group D,2026-06-12,United States,Paraguay,美国,巴拉圭,1.2837024670889157,1.5747642328204445,1.326771377085143,1.6654670050621636,1.0335505392413056,1.0575976837366112,0.033000000000000015,0.05600000000000001,predicted,predicted,4-3-3,4-2-3-1,1,False,,2.9586976408538703,0.0,0.0,True,0.4946034161677247,0.27241234305853146,0.232984240773744,True,-0.0475,0.34540256517038187,0.2678299784341197,0.3867674563954985,0.5219560229976542,0.4780439770023458,0.5622705333346606,0.2419147487793588,0.26988382271414724,10,1-3,0.04007898704470654
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,1,0-2,0.11990892374644968
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,2,0-1,0.10813676147599478
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,3,1-2,0.09638103283277016
8,Group Stage,Group B,2026-06-13,Qatar,Switzerland,卡塔尔,瑞士,0.7667948741006921,2.0846062013188997,0.7698681961434187,2.1892958559039726,1.004008010677342,1.004008010677342,0.004,0.004,predicted,predicted,4-3-3,4-2-3-1,1,True,Switzerland,220.44493169000498,0.0,0.045,False,,,,True,-0.0475,0.1135138531981,0.18789635676217784,0.6985897900397221,0.5795007671130911,0.42049923288690894,0.48817001411638655,0.10898519924640145,0.4567673590527507,4,0-3,0.09136048517808888
