year,group_round,match_date,home_team,away_team,home_score,away_score,total_goals,margin,favorite_team,favorite_elo_edge,favorite_margin
2006,2,2006-06-19,Spain,Tunisia,3,1,4,2,Spain,156.36082899226858,2
2006,2,2006-06-14,Tunisia,Saudi Arabia,2,2,4,0,Tunisia,102.50283630922968,0
2006,2,2006-06-15,Ecuador,Costa Rica,3,0,3,3,Ecuador,9.154439226806517,3
2006,3,2006-06-22,Japan,Brazil,1,4,5,3,Brazil,159.32977820056635,3
2006,3,2006-06-21,Ivory Coast,Serbia,3,2,5,1,Ivory Coast,48.7993230823854,1
2006,3,2006-06-20,Sweden,England,2,2,4,0,England,105.9306907965049,0
2006,3,2006-06-22,Croatia,Australia,2,2,4,0,Australia,49.73009326283636,0
2006,3,2006-06-20,Germany,Ecuador,3,0,3,3,Germany,211.5212185840926,3
2002,1,2002-06-01,Germany,Saudi Arabia,8,0,8,8,Germany,74.91456735705947,8
2002,1,2002-06-02,Spain,Slovenia,3,1,4,2,Spain,179.66784077444572,2
2002,1,2002-06-02,Paraguay,South Africa,2,2,4,0,Paraguay,27.13324247737387,0
2002,1,2002-06-04,Japan,Belgium,2,2,4,0,Japan,36.525992616260964,0
2002,2,2002-06-05,United States,Portugal,3,2,5,1,Portugal,87.11397780007451,-1
2002,2,2002-06-08,Brazil,China,4,0,4,4,Brazil,166.20693388482778,4
2002,2,2002-06-10,Portugal,Poland,4,0,4,4,Portugal,126.75879916036843,4
2002,2,2002-06-07,Spain,Paraguay,3,1,4,2,Spain,131.8322372121204,2
2002,3,2002-06-13,Costa Rica,Brazil,2,5,7,3,Brazil,172.91146186647393,3
2002,3,2002-06-11,Senegal,Uruguay,3,3,6,0,Uruguay,3.8241887939691424,0
2002,3,2002-06-12,South Africa,Spain,2,3,5,1,Spain,154.72437264446307,1
2002,3,2002-06-14,Belgium,Russia,3,2,5,1,Belgium,38.28404848625678,1
2002,3,2002-06-12,Slovenia,Paraguay,1,3,4,2,Paraguay,61.00839303934367,2
2002,3,2002-06-14,Poland,United States,3,1,4,2,United States,72.5421666474183,-2
2002,3,2002-06-11,Saudi Arabia,Republic of Ireland,0,3,3,3,Republic of Ireland,27.16272576738993,3
2002,3,2002-06-13,Turkey,China,3,0,3,3,China,34.70947403051514,-3
1998,1,1998-06-13,Spain,Nigeria,2,3,5,1,Spain,154.71959542313857,-1
1998,1,1998-06-13,South Korea,Mexico,1,3,4,2,South Korea,3.8092001444642847,-2
1998,1,1998-06-14,Jamaica,Croatia,1,3,4,2,Croatia,83.51565541459445,2
1998,1,1998-06-10,Morocco,Norway,2,2,4,0,Norway,48.713509278093625,0
1998,1,1998-06-11,Italy,Chile,2,2,4,0,Italy,125.29705453675842,0
1998,1,1998-06-12,France,South Africa,3,0,3,3,France,251.5012891367312,3
1998,2,1998-06-20,Netherlands,South Korea,5,0,5,5,Netherlands,75.77956708587931,5
1998,2,1998-06-21,Argentina,Jamaica,5,0,5,5,Argentina,158.22982376639857,5
1998,2,1998-06-18,France,Saudi Arabia,4,0,4,4,France,222.5099850235938,4
1998,2,1998-06-20,Belgium,Mexico,2,2,4,0,Mexico,16.755092003141044,0
1998,2,1998-06-21,Germany,Serbia,2,2,4,0,Germany,172.83360786150593,0
1998,2,1998-06-16,Brazil,Morocco,3,0,3,3,Brazil,222.35466023922936,3
1998,2,1998-06-17,Italy,Cameroon,3,0,3,3,Italy,153.6522458139293,3
1998,3,1998-06-24,Spain,Bulgaria,6,1,7,5,Spain,125.25113181684469,5
1998,3,1998-06-24,Nigeria,Paraguay,1,3,4,2,Nigeria,30.025904873167747,-2
1998,3,1998-06-24,South Africa,Saudi Arabia,2,2,4,0,Saudi Arabia,28.764667681646188,0
1998,3,1998-06-25,Netherlands,Mexico,2,2,4,0,Netherlands,67.70420759639023,0
1998,3,1998-06-23,Scotland,Morocco,0,3,3,3,Morocco,50.760741433096655,3
