home,away,date,scoreline,odds,market_implied,model_prob,edge,market_home,elo_home,xG_home,xG_away
德国,巴拉圭,06-30 04:30,2:5,800.0,0.0009,0.0003,-0.0006,0.75,0.6795,1.38,0.83
荷兰,摩洛哥,06-30 09:00,1:1,5.25,0.137,0.0,-0.137,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:1,5.5,0.1308,0.0764,-0.0544,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,1:0,7.8,0.0922,0.1253,0.0331,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,0:0,9.0,0.0799,0.0,-0.0799,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:2,9.5,0.0757,0.0,-0.0757,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,0:1,10.5,0.0685,0.1172,0.0487,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:0,11.0,0.0654,0.0715,0.0062,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,1:2,12.5,0.0575,0.0714,0.0139,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,3:1,14.0,0.0514,0.0291,-0.0223,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,3:0,21.0,0.0342,0.0272,-0.007,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,0:2,21.0,0.0342,0.0626,0.0283,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,3:2,23.0,0.0313,0.0155,-0.0157,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,3:3,36.0,0.02,0.0,-0.02,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,1:3,36.0,0.02,0.0254,0.0055,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:3,40.0,0.018,0.0145,-0.0035,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,4:1,50.0,0.0144,0.0083,-0.0061,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,0:3,55.0,0.0131,0.0223,0.0092,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,4:0,60.0,0.012,0.0078,-0.0042,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,4:2,60.0,0.012,0.0044,-0.0076,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,5:1,125.0,0.0058,0.0019,-0.0039,0.48,0.5251,1.14,1.07
