match_no,stage,group_name,date_et,home_team,away_team,home_team_zh,away_team_zh,raw_home_expected_goals,raw_away_expected_goals,home_expected_goals,away_expected_goals,home_lineup_goal_factor,away_lineup_goal_factor,home_lineup_log_adjustment,away_lineup_log_adjustment,home_suspension_goal_factor,away_suspension_goal_factor,home_suspension_log_adjustment,away_suspension_log_adjustment,home_suspended_count,away_suspended_count,home_suspended_players_zh,away_suspended_players_zh,home_preview_goal_factor,away_preview_goal_factor,home_must_win_pressure,away_must_win_pressure,home_preview_log_adjustment,away_preview_log_adjustment,home_preview_source_count,away_preview_source_count,home_preview_source_names,away_preview_source_names,home_lineup_status,away_lineup_status,home_formation,away_formation,group_match_round,group_opener_mismatch_adjustment_applied,group_opener_favorite_team,group_opener_favorite_elo_edge,home_group_opener_log_adjustment,away_group_opener_log_adjustment,has_market_outcome_constraint,market_home_win_probability,market_draw_probability,market_away_win_probability,has_market_total_goals_constraint,dixon_coles_rho,score_home_win_probability,score_draw_probability,score_away_win_probability,over_2_5_probability,under_2_5_probability,both_teams_score_probability,clean_sheet_home_probability,clean_sheet_away_probability,scoreline_rank,scoreline,scoreline_probability
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,1,1-1,0.12477853179430591
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,2,2-0,0.11697924413657497
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,3,3-0,0.10049860719457568
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,4,1-0,0.09055763245183425
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,5,0-0,0.08370177980977561
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,6,2-1,0.07275180988252263
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,7,4-0,0.06048107295758503
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,8,3-1,0.058377028221325074
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,9,2-2,0.04458412779058255
1,Group Stage,Group A,2026-06-11,Mexico,South Africa,墨西哥,南非,2.634976824281438,0.6941425147838676,2.941366845112728,0.6785290491503329,1.060775240740159,0.981179362242806,0.05900000000000001,-0.019000000000000003,1.006018036054065,0.996257022469171,0.006,-0.0037500000000000007,1,2,蒙特斯,兹瓦内、西索尔,1.0,1.0,False,False,0.0,0.0,0,0,,,predicted,predicted,4-3-3,4-2-3-1,1,True,Mexico,204.59070923964168,0.045,0.0,True,0.702668561503237,0.1989578398863098,0.09837359861045318,True,-0.0475,0.6709803364770475,0.2627477363212848,0.06627192720166776,0.5525662943759223,0.4474337056240777,0.46323826656704076,0.5033851473498336,0.11707836589290115,10,4-1,0.037313574578901276
